,idx,nid
132,107352,"['4133449', '4233528', '4203863', '4202700', '4202435', '4177828', '4225409', '4204371', '4197052', '4196975']"
133,146534,"['4377774', '4377028', '4376673', '4376589', '4392182', '4371252', '4442127', '4395603', '4377885', '4377288']"
134,147362,"['4186613', '4193054', '4192607', '4200916', '4486308', '4194369', '4533243', '4371916', '4552950']"
135,119510,"['4467232', '4428776', '4428659', '4478189', '4443081', '4419119', '4587095', '4430713', '4430545', '4717857']"
140,93929,"['4342451', '4334936', '4357744', '4354483', '4354415', '4342247', '4356330', '4717872']"
141,119412,"['4380316', '4419081', '4461560', '4448351', '4445741', '4437561', '4439747', '4416376', '4417397', '4416918']"
142,136886,"['4140903', '4298083', '4604200', '4544014', '4795222', '4795221']"
143,155120,"['4670186', '4607563', '4493436']"
144,116895,"['4401440', '4418475', '4439526']"
147,154329,"['4365592', '4371832', '4371917']"
148,149567,"['4263643', '4258084', '4308058', '4259070', '4268954', '4350338', '4273194', '4277458', '4268475']"
149,152095,"['4478855', '4304486', '4339040', '4384053', '4716979', '4306839', '4309608']"
150,154137,"['4357629', '4373765', '4400482', '4377418', '4674305']"
151,122489,"['4296068', '4287644', '4273599', '4300068', '4298582', '4298283', '4296629', '4294521', '4292902', '4291517']"
152,149650,"['4244713', '4542561', '4759747', '4246726', '4254577', '4285575', '4659666']"
153,126504,"['4304495', '4750388', '4659170', '4783513']"
154,125444,"['4583847', '4257728', '4252704', '4200878', '4213095', '4209185', '4215999', '4238747', '4216514', '4222674']"
155,119000,"['4430496', '4751105', '4552610', '4017502', '4419211', '4401395', '4639029']"
156,138030,"['4344933', '3917217', '3924337', '4201371', '4186058', '4306498', '4317773', '4315078', '4309499', '4717901']"
157,122627,"['4181121', '4188333', '4544807', '4226882', '4196812', '4213471', '4235263', '4332797']"
158,144968,"['4324449', '4340835', '4328975', '4336486', '4331496', '4328543', '4327278', '4326797', '4326688', '4326669']"
159,154814,"['4384657', '4374397', '4391150', '4397944', '4363105', '4366030', '4365604', '4429477']"
160,125458,"['4235214', '4238838', '4225903', '4245589', '4439294', '4255340', '4248618', '4293167', '4289744', '4299726']"
162,130850,"['4213808', '4212082', '4211804', '4208879', '4204364', '4581415', '4350072', '4238782', '4235392', '4230901']"
163,146508,"['4350094', '4366734', '4349505', '4377391', '4363841', '4350090', '4368463', '4370202', '4468892', '4350012']"
164,143339,"['4223480', '4363133', '4219044', '4371395', '4265745', '4305620', '4240735', '4357062', '4244633']"
167,147351,"['4388716', '4376153', '4379729', '4769611', '4374949', '4373937', '4399472', '4374861', '4481990']"
168,147039,"['4399854', '4426464', '4637878', '4717836', '4693325', '4683818']"
169,103735,"['4250113', '4229476', '2953127', '4231144', '4265031', '4229326', '4233896', '4228292']"
170,89757,"['4335766', '4385536', '4357408', '4352635', '4424486', '4361702', '4746684', '4717896', '4698407', '4788124']"
173,137035,"['3885479', '3892066', '4298375', '4352767', '4271655', '4270891', '4272532', '4286334', '4301362', '4296765']"
174,137281,"['4166475', '4165312', '4157686', '4180866', '4519443', '4231882', '4185308', '4224230', '4191243', '4190131']"
175,130343,"['3622958', '4791272', '3620608', '3653733', '3620836', '3787919']"
176,149555,"['4282617', '4718871', '4298838']"
178,156672,"['4399351', '4717798', '4431753']"
179,141789,"['4444743', '4396666', '4043686', '4266150', '4389329', '4520370', '4393860', '4752734']"
182,143428,"['4292197', '4273539', '4321128', '4307632', '4274024', '4267191', '4285499', '4635169', '4729721', '4686461']"
183,145376,"['4187529', '4194674', '4187621', '4198346', '4192137', '4192441', '4189845']"
184,137880,"['4270037', '4257732', '4751028', '4711156', '4682602', '4669807']"
185,142689,"['4423270', '4720092', '4533214', '4369418', '4347558', '4346533', '4369609', '4352294', '4350274', '4449671']"
186,102805,"['4613258', '4417207', '4459916', '4560712', '4677248', '4776597']"
187,146520,"['4705990', '4633341', '4748169']"
190,147337,"['4230369', '4190416', '4228393', '4329148', '4261474', '4259352']"
192,63113,"['4650182', '3833091', '3144197', '3635577', '4355032', '4371459', '4385279', '4376689', '4375641', '4368334']"
193,154135,"['4366951', '4499488', '4358257']"
195,148696,"['4238614', '4235941', '4323516']"
197,149628,"['4347925', '4347786', '4343830', '4336114', '4348476']"
199,155044,"['4416814', '4632282', '4717860', '4448831', '4430797', '4397515', '4443170', '4431800', '4426161', '4438545']"
