,idx,nid
109,122984,"['3963065', '4027531', '3990691', '3972518', '4001095', '3972959', '3961438', '3963066', '4372241', '4218567']"
110,135888,"['4618743', '4654160', '4688905', '4687746']"
112,109169,"['3838854', '3836209', '3832967', '3852558', '3843469', '3839416', '3843395', '3841955', '3838545', '3830440']"
113,129164,"['3904950', '4015495', '4014310', '3976589', '3975768', '3967250', '3957755', '3915687', '4030192', '4016075']"
114,109624,"['4276305', '4252753', '4005758', '3947424', '4740429', '3954512', '3946798', '3952611', '4695982', '4791779']"
116,140159,"['4611098', '4081890', '4097746']"
121,112041,"['3841281', '3819683', '3827237', '3821997', '3821330', '3827038', '3824795', '3819494', '3819921', '3828025']"
124,140241,"['4142851', '4479642', '4134838', '4134288', '4161916', '4516663']"
126,99748,"['4162564', '3847677', '4163652', '4153283', '4071571', '4233985', '4175718', '4164005', '4153885', '4152908']"
127,123277,"['4077354', '3877048', '3885786', '3897337', '3815335', '3844535', '3833994', '3825082', '3839392', '3827166']"
128,103331,"['4313066', '4147048', '4137372', '4119514', '4530315', '4259091', '4231675', '4218616', '4143660', '4139818']"
130,101948,"['3810598', '3814440', '3820891', '3884311', '3921173']"
131,115636,"['4378779', '4012391', '3869840', '3927199', '3922327', '3995091', '4005180', '4008775', '4555077', '4569073']"
132,113405,"['4197102', '4121073', '4098332', '4131349']"
133,100072,"['4150420', '4148307', '4161510', '4257872', '4149388', '4151744', '4152735', '4156761', '4159794', '4156401']"
135,106764,"['4661022', '3449421', '4693699', '4053507', '4218972', '4112986', '4104157']"
136,130957,"['4041623', '4041191', '4038425', '4030960', '4029408', '4028523', '4042537', '4039755', '4028968', '4024787']"
137,114262,"['3992981', '4004590', '3990068', '4019569', '3995113', '4045563', '4246080', '4038119']"
140,136034,"['3917725', '3941094', '3918898', '3924855', '3924789', '3943351', '3931220']"
141,120759,"['3878680', '3874680', '4506135', '4454698', '3969597', '3974968', '3906442', '4003282', '3884099', '3882795']"
142,118950,"['3911048', '3956729', '3945188', '3919829', '3922300', '3965655', '3927427', '3922672', '3920720', '4747230']"
143,129333,"['4094547', '4096325', '4105728', '4104314', '4096119', '4102137', '4097783', '4573215', '4101426', '4105781']"
144,124262,"['4112717', '4038813', '3928481', '3925353', '4416368', '4122614', '4656201', '4704285']"
146,135332,"['3774136', '3770426', '3767245', '4312726']"
147,125841,"['3766508', '3814068', '3809288', '3805376', '3801569', '3797891', '3773499', '3700685', '3673449', '3810421']"
148,51571,"['3962263', '4113381', '4023454', '4017908', '3669699', '3948641', '4695610', '4757502']"
149,125842,"['3953606', '4088146', '4033935', '4004558', '4031678', '3990916', '4033926', '4018559']"
150,118308,"['4029577', '4072483', '3967153', '4043259', '4019526', '4086328', '4002433', '3971566', '4522554', '4093598']"
151,118980,"['4239462', '4147045', '4762595']"
152,139375,"['4150903', '4190601', '4161089']"
155,125466,"['4146516', '4148708', '4168716', '4147498', '4138609', '4137044', '4135910', '4171657', '4160357', '4154020']"
158,11768,"['2200567', '1532582', '4352628', '4056512', '3674084', '4480147', '4220379', '4165929', '4555185', '4698495']"
160,130410,"['4548830', '4449932', '4266195', '4611519', '4658323']"
161,101963,"['3939254', '3948104', '3988728', '3852994', '3847881', '3837552', '3822708', '3831621', '3846827', '3833807']"
162,28140,"['752631', '65325', '3934194', '4706524', '3829715', '2251334', '3934561', '3650454', '3932642']"
163,122193,"['3845445', '3844889', '3832833', '3843419', '4007182', '4237623', '3863978', '4072668', '4017569', '4493396']"
165,131672,"['3890477', '3877398', '3926284', '3891578', '3925249', '3911965', '3899739', '4351747', '3905960', '3899430']"
168,132621,"['4144660', '4149867', '4160286', '3880653', '4140932']"
171,132665,"['4023590', '4001696', '3984461', '3969790', '3959526', '3944348', '3943869', '3941742', '3938570', '3936905']"
172,137619,"['4048507', '4123147', '4149754', '4053499', '4064375', '4070711', '4079996', '4095231', '4138187', '4341584']"
173,79303,"['4586604', '4225775', '4085140', '3930560', '4574363', '4800324']"
174,98483,"['3910366', '3927771', '3922728', '3920986', '3917558', '3915427', '3890972', '3876838', '3913215', '3900396']"
176,119966,"['3777315', '3818306', '3779521', '3732997', '3783067', '3756922', '3757547', '3740421', '3733438', '3734313']"
178,129016,"['3961822', '3930957', '3911786', '4209611', '4059750', '4058307', '4041476', '4030215', '3964718', '3963575']"
181,143308,"['4074306', '4182884', '4223780', '4223627', '4240486', '4080450', '4071866', '4165814', '4472445']"
183,118954,"['4106921', '4103606', '4230687', '4277254', '4372606', '4253227', '4278337', '4148972', '4078807', '4093021']"
185,129678,"['3836234', '4761350', '4523952', '3859300']"
187,113145,"['3991777', '4033541', '4161379']"
188,109920,"['3751051', '3747030', '3749383', '3748855', '3749656', '3765571', '3793585', '3763215', '3763018', '3760946']"
189,109984,"['3763868', '3764324', '3765840', '3766308', '3773101', '3773346', '3777282', '3777702', '3777850', '3779394']"
190,117802,"['4029448', '4426291', '4119229', '4031831', '4030640', '4037365', '4400664', '4134678', '4025025', '4025847']"
191,117771,"['4013232', '4024564', '3986407', '4772094']"
193,87324,"['4116534', '4116546', '4129571', '4126648', '4164319', '4125896', '4496727']"
194,129155,"['3855286', '3851962', '3848357', '3885153', '3881606', '3878806', '4576441', '3918294', '3883720']"
195,100678,"['3705201', '4041201', '3894064', '4021204', '4260936', '3952574', '4652812']"
197,71672,"['3758723', '3771361', '4463088', '4492200', '4315157', '4557184', '4087341', '3806722', '3780245', '4225141']"
198,139644,"['3984004', '3957318', '3942013', '3942082', '3945996', '4157810']"
199,145478,"['4156658', '4130210', '4134878', '4142528']"
200,121094,"['4099541', '4183214', '4131132', '4129207', '4138498', '4133003', '4128426', '4124579', '4262536', '4306160']"
203,128248,"['4365808', '4125393', '4232956', '4115516', '4122728', '4154315', '4235328', '4119531']"
208,122535,"['4067401', '3906054', '3893967', '3893490', '4048971', '4031651', '3991223', '3907095', '3898990', '4145001']"
209,127354,"['3937251', '4751228', '4759422']"
210,141421,"['4063684', '4066597', '4052620', '4103613', '4068586']"
211,127426,"['4096473', '4113578', '4161917']"
213,47321,"['4355222', '4268150', '4264262', '4741002', '4745925', '4771236', '4774860', '4769427', '4778786']"
214,89265,"['2609862', '2991910', '3932110', '3938860', '4765070', '4774994']"
215,121048,"['4015011', '3982188', '3983316', '3984188', '4021069', '3989124', '4028471', '4048265', '4047591', '4255165']"
216,130843,"['4155002', '4132608', '4172092', '4110422', '4164935', '4157157', '4151238', '4138536', '4396631', '4335484']"
