,idx,nid
65,145804,"[4378627, 4541934, 4380161, 4563948, 4547698, 4389265, 4390612, 4389564, 4390573, 4379914]"
66,145662,"[4338192, 4337227, 4338133, 4334934, 4640461, 4740678]"
67,153417,"[4323751, 4513701, 4328618]"
68,130903,"[4199429, 4196264, 4204835, 4202631, 4193232, 4229466, 4201800, 4196941, 4195532, 4194806]"
69,122566,"[3508506, 3508007, 4466856, 4681997, 3524637, 3558550, 4455157, 3506768, 4446548]"
70,143335,"[4171033, 4166341, 4170920, 4183033, 4471519, 4217059, 4425305, 4288090, 4748382]"
71,143337,"[4178701, 4160600, 4293128, 4288092]"
72,155414,"[4390487, 4420102, 4397645, 4478122, 4391528, 4452150, 4396055]"
73,61385,"[4060506, 3004489, 2705515, 3014903, 4727797]"
74,145350,"[4180980, 4181192, 4208010, 4334848]"
75,130358,"[4290372, 4295575, 4293390, 4288711, 4329377, 4300925, 4299049, 4331672, 4349926]"
76,132998,"[4377379, 4297274, 4292478, 4292180, 4290825, 4279000, 4278703, 4358033, 4294311, 4750654]"
77,138572,"[4231740, 4239834, 4251789, 4668475]"
78,133129,"[4355424, 4357264, 4361537, 4353374, 4376537, 4360007, 4371315, 4370661, 4349732, 4353805]"
79,143213,"[4193341, 4194117, 4229402, 4208565, 4484943, 4397104, 4295325]"
80,134873,"[4343700, 4349332, 4354212, 4346784, 4346331, 4578071, 4349914, 4349571, 4347611, 4356118]"
81,142291,"[4252652, 4252451, 4681982, 4775848]"
82,121051,"[4267297, 4269280, 4271890, 4272543, 4637284, 4318926, 4301086, 4271286, 4306922, 4301375]"
83,84359,"[2513083, 4425701, 4397349, 4569534, 4528574, 4636312, 4644561, 4802684]"
84,127866,"[4709260, 4144667, 4160466, 4177268, 4176541, 4176601, 4166231, 4180593, 4170129, 4182850]"
85,141824,"[4337402, 4336793, 4323640, 4336866, 4336094, 4373092, 4338480, 4326755, 4374244, 4341240]"
86,109910,"[4174442, 4171218, 4175673, 4181275, 4170990, 4199228, 4175952, 4173369, 4178998, 4184290]"
87,139700,"[4306247, 4284650, 4317224, 4308457, 4296217, 4326703, 4324610, 4310401, 4309245, 4304738]"
88,150611,"[4321366, 4501822, 4322873, 4330777, 4378625, 4341646, 4636313, 4459247, 4328004, 4358765]"
89,153790,"[4433103, 4695511, 4794218]"
90,135843,"[4214451, 4195179, 4216462, 4217686, 4216245, 4221826, 4221790, 4215959, 4218275, 4229866]"
